,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
42,deep-learning-containers,56,138,"1,498","['docker', 'aws', 'mxnet', 'tensorflow', 'pytorch', 'sagemaker', 'tensorflow2']",v2.1-pt-1.10.2-inf-neuron-sdk1.19.0-py37,497
43,aws-cli,21,128,"10,513","['aws', 'cloud', 'aws-cli', 'cloud-management']",,12791
44,amazon-ssm-document-language-service,3,1,42,[],,6
45,sagemaker-spark-container,16,10,30,[],3.1-cpu-py37-v1.2,22
46,iot-expresslink,8,4,33,[],,12
47,aws-rfdk,11,9,423,"['aws', 'cloud-infrastructure', 'infrastructure-as-code', 'cdk']",v0.42.0,82
48,aws-tools-for-powershell,8,1,323,[],,186
49,amazon-ecs-agent,65,13,"3,825","['go', 'docker-container', 'amazon-ec2', 'amazon-ecs-agent', 'amazon-linux-ami']",Amazon ECS Agent - v1.62.2,1911
50,amazon-braket-default-simulator-python,4,1,143,['amazon-braket'],v1.7.2.post0,29
51,aws-parallelcluster-node,16,4,666,[],AWS ParallelCluster v3.2.0,48
52,amazon-neptune-jdbc-driver,17,12,690,"['java', 'sql', 'graph', 'amazon', 'sparql', 'jdbc', 'neptune', 'gremlin', 'graphdb', 'apache2', 'tableau', 'tableau-connector', 'opencypher', 'apache2-license', 'bi-tools', 'graph-bi-tools']",v1.1.0,14
53,eks-distro,10,6,"1,080","['kubernetes', 'aws', 'eks']",EKS Distro v1.23-4 Release,1158
54,amazon-vpc-cni-k8s,48,20,"1,128","['kubernetes', 'cni-plugin', 'pod-networking']",v1.11.3 release,1907
55,sagemaker-xgboost-container,16,11,136,[],1.5-1,90
56,aws-sdk-rails,4,2,162,[],Release v3.6.2 - 2022-06-16,503
